Name,ranking
University of Vic – Central University of Catalonia,586
Victoria University,587
Virginia Commonwealth University,588
Wayne State University,589
The University of the West Indies,590
Xi’an Jiaotong University,591
University of Zambia,592
Zayed University,593
Zhejiang Normal University,594
Abdul Wali Khan University Mardan,595
Åbo Akademi University,596
Addis Ababa University,597
Ahvaz Jundishapur University of Medical Sciences (AJUMS),598
Ajou University,599
Amedeo Avogadro University of Eastern Piedmont,600
American University,601
American University of Sharjah,602
Amirkabir University of Technology,603
University of Antofagasta,604
University of Arkansas,605
Auburn University,606
Azarbaijan Shahid Madani University,607
University of Babylon,608
Bahçeşehir University,609
Bahria University,610
Banaras Hindu University,611
University of Bari Aldo Moro,612
Bar-Ilan University,613
Baylor University,614
Beirut Arab University,615
Ben-Gurion University of the Negev,616
Benha University,617
Université Bourgogne Franche-Comté (UBFC),618
Ca’ Foscari University of Venice,619
University of Camerino (Unicam),620
University of Canterbury,621
Capital Medical University,622
Carleton University,623
University of Central Florida,624
Central Queensland University,625
Chongqing University,626
Chung-Ang University,627
Clark University,628
University of Coimbra,629
University of Colombo,630
COMSATS University Islamabad,631
Concordia University,632
University of Córdoba,633
University of Costa Rica,634
Covenant University,635
Cyprus University of Technology,636
Dalian University of Technology,637
Delhi Technological University,638
De Montfort University,639
University of Derby,640
University of Desarrollo,641
University of Dhaka,642
Dow University of Health Sciences,643
University of Eastern Finland,644
Universidade Eduardo Mondlane,645
"University of Engineering and Technology, Taxila",646
ENSTA Bretagne,647
Eötvös Loránd University,648
Fayoum University,649
Universidade Federal do Rio Grande do Sul,650
Universidade Federal de São Paulo (UNIFESP),651
Federation University Australia,652
Gabriele d‘Annunzio University,653
University of Georgia,654
Glasgow Caledonian University,655
University of Granada,656
Graphic Era University,657
University of Graz,658
Graz University of Technology,659
Guangzhou University,660
Guangzhou Medical University,661
Hacettepe University,662
University of Haifa,663
Hamburg University of Technology,664
Hazara University Mansehra,665
University of Hertfordshire,666
University of Houston,667
University of Huddersfield,668
Icesi University,669
Ilam University of Medical Sciences,670
Imam Abdulrahman Bin Faisal University,671
Indian Institute of Technology Indore,672
Indraprastha Institute of Information Technology Delhi,673
"International Islamic University, Islamabad",674
Iran University of Medical Sciences,675
Istanbul Technical University,676
Jagiellonian University,677
Jamia Hamdard University,678
Jawaharlal Nehru University,679
Jiangsu University,680
Jinan University,681
University of Johannesburg,682
Jönköping University,683
The University of Jordan,684
Jouf University,685
University of Kaiserslautern,686
Kalasalingam Academy of Research and Education,687
Kansai Medical University,688
University of Kashan,689
Universiti Kebangsaan Malaysia,690
KIIT University,691
King Saud bin Abdulaziz University for Health Sciences,692
Konkuk University,693
Kore University of Enna,694
University of Kurdistan,695
Lahore University of Management Sciences,696
Lehigh University,697
University of Limerick,698
London South Bank University,699
University of Lorraine,700
Louisiana State University,701
Lviv Polytechnic National University,702
Maharishi Markandeshwar University (MMU),703
Majmaah University,704
University of Malakand,705
Manchester Metropolitan University,706
Mansoura University,707
Marche Polytechnic University,708
"University of Maryland, Baltimore County",709
Mashhad University of Medical Sciences,710
Massey University,711
Medical University of Lodz,712
Memorial University of Newfoundland,713
Minia University,714
Mizzou - University of Missouri,715
University of Mohaghegh Ardabili,716
University of Nairobi,717
University of Namibia,718
Nanjing Agricultural University,719
Nantes Université,720
National Cheng Kung University (NCKU),721
National Taiwan University of Science and Technology (Taiwan Tech),722
National Institute of Technology Silchar,723
National Yunlin University of Science and Technology,724
Near East University,725
"University of Nevada, Las Vegas",726
University of New Brunswick UNB,727
New Jersey Institute of Technology,728
University of North Carolina at Charlotte,729
North South University,730
North-West University,731
Norwegian University of Life Sciences,732
NOVA University of Lisbon,733
"University of Occupational and Environmental Health, Japan",734
Oklahoma State University,735
Ontario Tech University,736
The Open University,737
Oxford Brookes University,738
University of Parma,739
Universidad Peruana Cayetano Heredia,740
University of Perugia,741
Polytechnic University of Bari,742
Polytechnic University of Turin,743
Prince Sattam Bin Abdulaziz University,744
Universiti Putra Malaysia,745
Qingdao University,746
Université du Québec,747
University of Regina,748
Rensselaer Polytechnic Institute,749
Riga Stradiņš University,750
Riphah International University,751
Rovira i Virgili University,752
Universiti Sains Malaysia,753
San Diego State University,754
University of Sannio,755
University of Santiago de Compostela,756
Savitribai Phule Pune University,757
University of Campania Luigi Vanvitelli,758
Shanghai University,759
"Soochow University, China",760
Southern Cross University,761
University of Strasbourg,762
Sultan Qaboos University,763
University of the Sunshine Coast,764
SUNY Binghamton University,765
University of Tabriz,766
Tabriz University of Medical Sciences,767
Taif University,768
Tallinn University of Technology,769
University of Tehran,770
Tehran University of Medical Sciences,771
Universiti Teknologi Malaysia,772
University of Texas at Arlington,773
The University of Texas at San Antonio,774
Thapar Institute of Engineering and Technology,775
University of Toledo,776
TU Braunschweig,777
University of Ulsan,778
Ulster University,779
Umm Al-Qura University,780
